7,74;0;17,3;12,1;14,7;17,2;13,64;15,19;13,86;19,44;2,4;7,65
2,05;0;22,23;24,55;23,33;17,2;19,23;26,24;13,86;18,58;2,01;7,39
0,66;0,6;18,4;22,1;8,85;17,2;11,5;12,93;13,86;19,31;6,59;6,5
1,72;9,85;8,22;5,5;24,65;17,2;23,2;18,49;13,86;20,41;4,1;1,93
4,62;14,96;14,52;19,22;27,67;17,2;20,5;16,47;13,86;11;13,24;2,73
1,89;17,33;9,42;20,5;26,02;11,55;22,57;20,85;13,86;17,81;3,85;3,13
2,37;18,73;22;24,27;26,24;23;23,43;6,26;13,86;10,01;2,79;1,32
4,62;7,79;23,65;22,94;27,03;7,98;24,48;19,31;13,86;11,39;10,68;11,45
3,66;5,87;20,11;25,3;27,48;9,34;20,85;17,29;13,86;10,24;2,76;1,57
1,4;14,8;6,1;24,22;16,96;22,26;21,99;19,47;23,06;2,44;1,07;0,6
1,4;3;14;23,47;16,96;5,18;22,68;21,59;20,73;18,34;1,01;0,6
1,39;2,53;18,5;7,8;16,96;15,21;25,37;19,58;22;4,2;0,17;1,95
1,3;4,85;4,17;12,28;16,96;12,42;6,84;19,58;19,82;6,58;10,13;1,9
2,4;3,74;14,6;15,9;16,96;16,99;8,53;19,58;14,88;20,92;1,85;2,05
6,53;1,76;22,59;16,84;16,96;21,9;21;19,58;20,21;21,02;1,34;2,18
14,72;1,74;4,11;21,48;16,96;23;26,45;19,58;21,68;19,72;1,35;1,15
14,3;1,32;1,54;25,85;14;19,56;8,64;19,58;14,94;3,09;13,92;0,78
4,32;1,96;0,96;26,64;25,83;4,75;15,48;19,58;3,27;18,57;13,7;3,54
0,3;1,94;7,75;24,9;25,68;18,35;22,47;19,58;3,99;1,27;14,2;7,43
2;0;24,3;25,03;24,47;12;5,3;22,66;9;6,89;5,89;1,07
9,7;0;23,3;24,68;24,73;21,43;19,6;19,96;21,05;17,06;10,39;0,36
7,9;1;23,69;24,45;19,17;17,33;14,7;22;12,72;14,72;2,35;0,36
9;10,98;23,24;24,15;22,55;4,66;8,15;22,8;18,66;15,3;1,74;1,32
0;20,38;23,31;18,09;25,64;17,37;14,18;22,85;21,58;18,24;1,23;6,52
1;13,98;21,96;18,09;26,73;15,51;13,73;23,22;19;4,99;5,13;6,52
0;21,35;10,62;18,09;22,68;21,44;21,9;23,48;19,98;3,29;6,26;6,52
0;4,76;4,34;18,09;4,56;27,32;22,11;6,91;17,75;1,16;14,12;6,52
0;5,8;15,41;17,5;19,65;26,16;16,29;24,47;20,96;11,98;12,11;6,52
0;;23,98;23,15;25,9;22,73;11,78;19;16,78;8,98;10,46;0,34
0;;18,91;24,74;26,09;14,21;12,5;13,86;20,47;8,73;1,31;0,84
0;;11,66;;16,48;;16,08;13,86;;2,88;;0,5
